name,sex,times_compete
Adkhamjon Ergashev,M,10
Akbar Djuraev,M,9
Alireza Yousefi,M,5
Andranik Karapetyan,M,3
Angie Dajomes,F,6
Antonio Pizzolato,M,9
Apti Aukhadov,M,18
Artyom Antropov,M,7
Bak Joo-Hyo,M,1
Behdad Salimi,M,11
Boady Santavy,M,9
Brayan Rodallegas,M,5
C.J. Cummings,M,54
Caine Wilkes,M,13
Chen Lijun,M,6
D'Angelo Osorio,M,18
Deng Wei,F,10
Dmitry Klokov,M,60
Fernando Reiss,M,16
Gomiita Gomez,F,1
Gor Minasyan,M,10
Guilia Imperio,F,3
Guilia Miserendino,F,6
Hampton Morris,M,3
Harrison Maurus,M,20
Hayley Reichardt,F,3
Iam-My Siriwimon,F,2
Ian Wilson,M,20
Ilya Ilyin,M,52
Iryna Dekha,F,6
Jang Yeonhak,M,1
Jessica Lucero,F,18
Jiang Huihua,F,0
Jourdan Delacruz,F,26
Karlos Nasar,M,14
Kate Vibert,F,22
Keydomar Vallenilla,M,7
Kim Su-hyon,F,2
Kuo Hsingchun,F,18
Lasha Talakhadze,M,67
Lee Sang,M,2
Lesman Paredes,M,6
Li Dayin,M,3
Li Fabin,M,3
Liao Guifang,F,3
Liao Hui,M,9
Liu Huanhua,M,2
Loredana Toma,F,31
Lu Xiaojun,M,18
Luis Mosquera,M,25
Luo Shifang,F,0
Lydia Valentín,F,14
Maddy Myers,F,16
Marin Robu,M,2
María Fernanda Valdés,F,2
Mattie Rogers,F,62
Maude Charron,F,12
Meso Hassona,M,26
Mihaela Cambei,F,11
Mirabai Chanu,F,2
Mirko Zanni,M,3
Morghan King,F,19
Neisi Dajomes,F,14
Nina Stercx,F,8
Oleksiy Torokhtiy,M,15
Olivia Reeves,F,5
Pei Xinyi,F,1
Rahmat Abdullah,M,6
Rebeka Koha,F,19
Rizki Juniansyah,M,7
Ruslan Nurudinov,M,13
Rustam Djangabaev,M,5
Sara Ahmed,F,2
Shi Zhiyong,M,16
Simon Martirosyan,M,22
Solfrid Koanda,F,3
Tatiana Kashirina,F,2
Tian Tao,M,31
Toshiki Yamamoto,M,11
Varazdat Lalayan,M,6
Weeraphon Wichuma,M,1
Yenny Alvarez,F,7
Yusuf Genç,M,2
